eval,method,target_tokens,needle_rank,needle_rank_cos,needle_rank_no_q,needle_rank_doc,needle_rank_doc_cos,eucr_doc,eucr_doc_cos,pwup_doc_B,pwup_doc_M,pwup_doc_E,gud_doc
all_chunks,inputxgrad,512,3.7,,2.7,2.7,,0.95,,0.571,0.128,0.3,-0.54
all_chunks,inputxgrad,1024,6.1,,5.1,5.1,,0.575,,0.566,0.202,0.232,-0.286
all_chunks,inputxgrad,2048,11.1,,10.1,10.1,,0.356,,0.489,0.174,0.337,-0.171
all_chunks,mask4d,512,3.0,3.3,2.8,2.8,2.6,0.5,0.5,0.262,0.19,0.548,0.204
all_chunks,mask4d,1024,5.9,5.5,5.5,5.5,5.1,0.6,0.462,0.183,0.352,0.465,0.125
all_chunks,mask4d,2048,9.6,9.2,8.3,8.3,7.7,0.531,0.294,0.361,0.294,0.345,-0.031
all_chunks,substitution,512,3.4,3.3,2.9,2.9,2.6,0.475,0.45,0.475,0.133,0.392,-0.202
all_chunks,substitution,1024,5.5,5.7,5.0,5.0,5.1,0.362,0.325,0.427,0.326,0.247,-0.281
all_chunks,substitution,2048,8.1,8.2,8.1,8.1,8.1,0.156,0.144,0.584,0.142,0.275,-0.225
doc_only,inputxgrad,512,2.7,,2.7,2.7,,0.95,,0.571,0.128,0.3,-0.54
doc_only,inputxgrad,1024,5.1,,5.1,5.1,,0.575,,0.566,0.202,0.232,-0.286
doc_only,inputxgrad,2048,10.1,,10.1,10.1,,0.356,,0.489,0.174,0.337,-0.171
doc_only,mask4d,512,2.8,2.6,2.8,2.8,2.6,0.5,0.5,0.262,0.19,0.548,0.204
doc_only,mask4d,1024,5.5,5.1,5.5,5.5,5.1,0.6,0.462,0.183,0.352,0.465,0.125
doc_only,mask4d,2048,8.3,7.7,8.3,8.3,7.7,0.531,0.294,0.361,0.294,0.345,-0.031
doc_only,substitution,512,2.9,2.6,2.9,2.9,2.6,0.475,0.45,0.475,0.133,0.392,-0.202
doc_only,substitution,1024,5.0,5.1,5.0,5.0,5.1,0.362,0.325,0.427,0.326,0.247,-0.281
doc_only,substitution,2048,8.1,8.1,8.1,8.1,8.1,0.156,0.144,0.584,0.142,0.275,-0.225
