method,prompt_idx,target_tokens,depth_frac,baseline_correct,needle_rank,needle_rank_cos,wall_time_s,peak_vram_gb,eucr,eucr_cos
substitution,0,512,0.1,True,3,3.0,6.044,6.328,0.4,0.4
substitution,1,512,0.1,True,3,3.0,1.059,6.328,0.4,0.4
substitution,2,512,0.25,True,4,4.0,10.991,6.328,0.6,0.6
substitution,3,512,0.25,True,4,4.0,10.656,6.328,0.6,0.6
substitution,4,512,0.5,True,2,1.0,11.083,6.328,0.6,0.6
substitution,5,512,0.5,True,2,3.0,5.94,6.328,0.6,0.6
substitution,6,512,0.75,True,3,3.0,7.974,6.328,0.8,0.6
substitution,7,512,0.75,True,3,2.0,3.456,6.328,0.6,0.6
substitution,8,512,0.9,True,5,5.0,9.356,6.328,0.6,0.6
substitution,9,512,0.9,True,5,5.0,6.98,6.328,0.6,0.6
substitution,10,1024,0.1,True,5,5.0,13.968,6.45,0.3333333333333333,0.3333333333333333
substitution,11,1024,0.1,True,9,9.0,9.963,6.45,0.5555555555555556,0.5555555555555556
substitution,12,1024,0.25,True,5,5.0,11.912,6.451,0.3333333333333333,0.3333333333333333
substitution,13,1024,0.25,True,5,5.0,4.238,6.451,0.3333333333333333,0.3333333333333333
substitution,14,1024,0.5,True,2,4.0,15.708,6.451,0.6666666666666666,0.4444444444444444
substitution,15,1024,0.5,True,1,1.0,14.052,6.451,0.3333333333333333,0.3333333333333333
substitution,16,1024,0.75,True,8,8.0,14.93,6.451,0.5555555555555556,0.4444444444444444
substitution,17,1024,0.75,True,6,6.0,8.454,6.451,0.3333333333333333,0.3333333333333333
substitution,18,1024,0.9,True,6,6.0,4.262,6.451,0.3333333333333333,0.3333333333333333
substitution,19,1024,0.9,True,8,8.0,8.354,6.451,0.5555555555555556,0.4444444444444444
substitution,20,2048,0.1,True,9,9.0,13.858,6.927,0.17647058823529413,0.17647058823529413
substitution,21,2048,0.1,True,9,9.0,19.603,6.928,0.17647058823529413,0.17647058823529413
substitution,22,2048,0.25,True,10,10.0,25.827,6.928,0.29411764705882354,0.11764705882352941
substitution,23,2048,0.25,True,9,9.0,18.234,6.928,0.17647058823529413,0.11764705882352941
substitution,24,2048,0.5,True,1,2.0,18.925,6.928,0.17647058823529413,0.17647058823529413
substitution,25,2048,0.5,True,1,1.0,13.344,6.927,0.23529411764705882,0.17647058823529413
substitution,26,2048,0.75,True,12,12.0,30.459,6.928,0.29411764705882354,0.23529411764705882
substitution,27,2048,0.75,True,10,10.0,30.747,6.928,0.17647058823529413,0.17647058823529413
substitution,28,2048,0.9,True,10,10.0,35.213,6.928,0.17647058823529413,0.17647058823529413
substitution,29,2048,0.9,True,10,10.0,41.288,6.927,0.17647058823529413,0.17647058823529413
inputxgrad,0,512,0.1,True,4,,0.352,9.384,0.4,
inputxgrad,1,512,0.1,True,3,,0.355,9.371,0.4,
inputxgrad,2,512,0.25,True,4,,0.465,9.401,0.6,
inputxgrad,3,512,0.25,True,4,,0.377,9.365,0.6,
inputxgrad,4,512,0.5,True,3,,0.426,9.371,0.8,
inputxgrad,5,512,0.5,True,3,,0.349,9.365,0.8,
inputxgrad,6,512,0.75,True,4,,0.384,9.401,1.0,
inputxgrad,7,512,0.75,True,4,,0.366,9.401,1.0,
inputxgrad,8,512,0.9,True,4,,0.369,9.401,0.6,
inputxgrad,9,512,0.9,True,4,,0.345,9.384,0.6,
inputxgrad,10,1024,0.1,True,8,,0.412,12.898,0.2222222222222222,
inputxgrad,11,1024,0.1,True,6,,0.492,12.946,0.2222222222222222,
inputxgrad,12,1024,0.25,True,7,,0.432,12.907,0.4444444444444444,
inputxgrad,13,1024,0.25,True,8,,0.397,12.891,0.3333333333333333,
inputxgrad,14,1024,0.5,True,3,,0.514,12.907,0.3333333333333333,
inputxgrad,15,1024,0.5,True,3,,0.524,12.898,0.3333333333333333,
inputxgrad,16,1024,0.75,True,6,,0.551,12.898,0.3333333333333333,
inputxgrad,17,1024,0.75,True,7,,0.407,12.903,0.2222222222222222,
inputxgrad,18,1024,0.9,True,9,,0.4,12.898,0.3333333333333333,
inputxgrad,19,1024,0.9,True,4,,0.427,12.907,0.3333333333333333,
inputxgrad,20,2048,0.1,True,8,,0.488,23.301,0.17647058823529413,
inputxgrad,21,2048,0.1,True,16,,0.509,23.307,0.23529411764705882,
inputxgrad,22,2048,0.25,True,12,,0.576,23.386,0.17647058823529413,
inputxgrad,23,2048,0.25,True,13,,0.781,23.307,0.11764705882352941,
inputxgrad,24,2048,0.5,True,4,,0.51,23.307,0.11764705882352941,
inputxgrad,25,2048,0.5,True,3,,0.653,23.25,0.11764705882352941,
inputxgrad,26,2048,0.75,True,12,,0.884,23.445,0.23529411764705882,
inputxgrad,27,2048,0.75,True,14,,0.717,23.307,0.17647058823529413,
inputxgrad,28,2048,0.9,True,17,,0.52,23.307,0.23529411764705882,
inputxgrad,29,2048,0.9,True,12,,0.711,23.301,0.17647058823529413,
mask4d,0,512,0.1,True,3,3.0,1.258,6.465,0.4,0.4
mask4d,1,512,0.1,True,3,3.0,8.371,6.465,0.4,0.4
mask4d,2,512,0.25,True,3,4.0,4.947,6.465,1.0,1.0
mask4d,3,512,0.25,True,3,3.0,10.791,6.465,0.4,0.4
mask4d,4,512,0.5,True,1,2.0,5.002,6.465,0.4,0.4
mask4d,5,512,0.5,True,2,2.0,0.475,6.465,0.8,0.8
mask4d,6,512,0.75,True,2,3.0,8.366,6.467,1.0,1.0
mask4d,7,512,0.75,True,3,3.0,0.864,6.465,0.6,0.6
mask4d,8,512,0.9,True,5,5.0,5.198,6.465,0.4,0.4
mask4d,9,512,0.9,True,5,5.0,5.48,6.465,0.4,0.4
mask4d,10,1024,0.1,True,6,6.0,6.449,6.656,0.7777777777777778,0.7777777777777778
mask4d,11,1024,0.1,True,6,9.0,6.616,6.656,1.0,0.6666666666666666
mask4d,12,1024,0.25,True,7,4.0,6.398,6.658,0.7777777777777778,0.3333333333333333
mask4d,13,1024,0.25,True,6,6.0,8.493,6.658,0.3333333333333333,0.3333333333333333
mask4d,14,1024,0.5,True,4,2.0,10.751,6.658,1.0,0.5555555555555556
mask4d,15,1024,0.5,True,1,1.0,5.265,6.658,0.2222222222222222,0.2222222222222222
mask4d,16,1024,0.75,True,6,6.0,10.621,6.658,0.3333333333333333,0.3333333333333333
mask4d,17,1024,0.75,True,9,9.0,7.321,6.658,0.6666666666666666,0.4444444444444444
mask4d,18,1024,0.9,True,7,7.0,4.876,6.658,0.3333333333333333,0.3333333333333333
mask4d,19,1024,0.9,True,7,5.0,11.636,6.658,1.0,1.0
mask4d,20,2048,0.1,True,9,9.0,7.671,7.107,0.17647058823529413,0.17647058823529413
mask4d,21,2048,0.1,True,15,15.0,17.374,7.107,0.35294117647058826,0.23529411764705882
mask4d,22,2048,0.25,True,16,16.0,18.259,7.107,0.5882352941176471,0.35294117647058826
mask4d,23,2048,0.25,True,10,6.0,18.758,7.107,0.5882352941176471,0.29411764705882354
mask4d,24,2048,0.5,True,4,5.0,26.299,7.107,0.29411764705882354,0.29411764705882354
mask4d,25,2048,0.5,True,2,1.0,21.318,7.107,0.8823529411764706,0.8235294117647058
mask4d,26,2048,0.75,True,10,10.0,27.535,7.107,0.7058823529411765,0.23529411764705882
mask4d,27,2048,0.75,True,8,8.0,28.712,7.107,0.9411764705882353,0.17647058823529413
mask4d,28,2048,0.9,True,11,11.0,32.932,7.107,0.29411764705882354,0.23529411764705882
mask4d,29,2048,0.9,True,11,11.0,33.23,7.107,0.23529411764705882,0.17647058823529413
