method,batch_size,batch_label,target_tokens,actual_tokens,num_chunks,fwd_passes,wall_time_s,peak_vram_gb
inputxgrad,1,n/a,256,278,3,1,0.371,7.971
chunk_deletion,1,seq,256,278,3,4,5.764,6.295
substitution,1,1,256,278,3,4,11.215,6.295
substitution,2,2,256,278,3,3,7.899,6.325
substitution,4,4,256,278,3,2,6.896,6.354
substitution,8,8,256,278,3,2,6.681,6.354
substitution,16,16,256,278,3,2,8.741,6.354
substitution,3,full,256,278,3,2,11.355,6.354
mask4d,1,1,256,278,3,4,4.599,6.37
mask4d,2,2,256,278,3,3,8.092,6.456
mask4d,4,4,256,278,3,2,5.404,6.548
mask4d,8,8,256,278,3,2,1.153,6.548
mask4d,16,16,256,278,3,2,7.115,6.548
mask4d,3,full,256,278,3,2,8.092,6.548
inputxgrad,1,n/a,512,534,5,1,0.321,9.384
chunk_deletion,1,seq,512,534,5,6,12.927,6.328
substitution,1,1,512,534,5,6,12.355,6.328
substitution,2,2,512,534,5,4,7.037,6.388
substitution,4,4,512,534,5,3,10.695,6.547
substitution,8,8,512,534,5,2,13.187,6.591
substitution,16,16,512,534,5,2,2.758,6.591
substitution,5,full,512,534,5,2,13.989,6.591
mask4d,1,1,512,534,5,6,11.944,6.466
mask4d,2,2,512,534,5,4,7.456,6.662
mask4d,4,4,512,534,5,3,10.985,7.03
mask4d,8,8,512,534,5,2,14.809,7.191
mask4d,16,16,512,534,5,2,3.432,7.191
mask4d,5,full,512,534,5,2,4.674,7.191
inputxgrad,1,n/a,1024,1046,9,1,0.377,12.898
chunk_deletion,1,seq,1024,1046,9,10,9.122,6.451
substitution,1,1,1024,1046,9,10,7.712,6.451
substitution,2,2,1024,1046,9,6,4.532,6.674
substitution,4,4,1024,1046,9,4,8.844,7.004
substitution,8,8,1024,1046,9,3,4.018,7.737
substitution,16,16,1024,1046,9,2,1.309,7.929
substitution,9,full,1024,1046,9,2,6.19,7.929
mask4d,1,1,1024,1046,9,10,3.985,6.677
mask4d,2,2,1024,1046,9,6,1.415,7.123
mask4d,4,4,1024,1046,9,4,6.607,7.834
mask4d,8,8,1024,1046,9,3,3.708,9.119
mask4d,16,16,1024,1046,9,2,1.792,9.48
mask4d,9,full,1024,1046,9,2,5.008,9.48
inputxgrad,1,n/a,2048,2070,17,1,0.728,23.448
chunk_deletion,1,seq,2048,2070,17,18,38.429,6.928
substitution,1,1,2048,2070,17,18,52.581,6.928
substitution,2,2,2048,2070,17,10,37.685,7.513
substitution,4,4,2048,2070,17,6,11.812,8.754
substitution,8,8,2048,2070,17,4,7.623,11.243
substitution,16,16,2048,2070,17,3,48.576,16.212
substitution,17,full,2048,2070,17,2,8.604,16.835
mask4d,1,1,2048,2070,17,18,6.857,7.252
mask4d,2,2,2048,2070,17,10,52.324,7.963
mask4d,4,4,2048,2070,17,6,3.883,9.483
mask4d,8,8,2048,2070,17,4,15.295,12.545
mask4d,16,16,2048,2070,17,3,13.417,17.677
mask4d,17,full,2048,2070,17,2,5.656,18.381
